x	Average
im7959.jpg	0.000000
im3522.jpg	0.000000
im13718.jpg	0.000000
im14149.jpg	0.000000
im3439.jpg	0.000000
im23288.jpg	0.000000
im22496.jpg	0.000000
im2177.jpg	0.000000
im5735.jpg	0.000000
im551.jpg	0.000000
im8431.jpg	0.000000
im14985.jpg	0.000000
im12527.jpg	0.000000
im7652.jpg	0.000000
im13487.jpg	0.125000
im22309.jpg	0.000000
im24440.jpg	0.000000
im23589.jpg	0.000000
im16499.jpg	0.000000
im12155.jpg	0.031250
im5473.jpg	0.000000
im4810.jpg	0.015625
im7590.jpg	0.000000
im16864.jpg	0.093750
im23739.jpg	0.000000
im20283.jpg	0.093750
im4904.jpg	0.000000
im24766.jpg	0.023438
im24413.jpg	0.007812
im12387.jpg	0.031250
im14251.jpg	0.200521
im3430.jpg	0.039062
im2764.jpg	0.000000
im160.jpg	0.006250
im21314.jpg	0.031250
im10711.jpg	0.025000
im22656.jpg	0.012500
im23056.jpg	0.037202
im16953.jpg	0.022321
im10943.jpg	0.020089
im8726.jpg	0.028460
im6766.jpg	0.032955
im11070.jpg	0.083523
im6637.jpg	0.066998
im3511.jpg	0.104372
im7576.jpg	0.045892
im3474.jpg	0.101034
im4696.jpg	0.097858
im13098.jpg	0.093006
im6856.jpg	0.106868
