x	sift-kmeans-1000-02-canny-tfidf-segments	sift-kmeans-2000-02-slic-lsi-segments	sift-kmeans-2000-02-slic-tfidf-segments	surf-kmeans-2000-02-otsu-tfidf-segments	sift-kmeans-1000-02-none-bow-images	surf-kmeans-1000-02-otsu-tfidf-segments	surf-kmeans-1000-02-otsu-lsi-segments	surf-kmeans-2000-02-canny-tfidf-segments	sift-kmeans-1000-02-canny-lsi-segments	surf-kmeans-1000-02-canny-lsi-segments	surf-kmeans-1000-02-slic-lsi-segments	sift-kmeans-2000-02-none-bow-images	surf-kmeans-2000-02-canny-lsi-segments	sift-kmeans-2000-02-otsu-lsi-segments	sift-kmeans-2000-02-canny-tfidf-segments	surf-som-2000-02-slic-lsi-segments	surf-kmeans-2000-02-none-bow-images	surf-som-1000-02-slic-lsi-segments	sift-kmeans-1000-02-otsu-tfidf-segments	surf-kmeans-1000-02-slic-tfidf-segments	sift-som-1000-02-slic-lsi-segments	sift-kmeans-2000-02-otsu-tfidf-segments	sift-kmeans-2000-02-canny-lsi-segments	sift-kmeans-1000-02-slic-lsi-segments	surf-kmeans-2000-02-otsu-lsi-segments	sift-som-2000-02-slic-lsi-segments	surf-kmeans-2000-02-slic-tfidf-segments	surf-kmeans-1000-02-canny-tfidf-segments	sift-kmeans-1000-02-otsu-lsi-segments	sift-kmeans-1000-02-slic-tfidf-segments	surf-kmeans-1000-02-none-bow-images	surf-kmeans-2000-02-slic-lsi-segments
im7959.jpg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
im3522.jpg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
im13718.jpg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
im14149.jpg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
im3439.jpg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
im23288.jpg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
im22496.jpg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
im2177.jpg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
im5735.jpg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
im551.jpg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
im8431.jpg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
